timestamp,theta_pot,button_state,theta_pot_rad,wUser_,tau_ext
1764928384.7349317,80.59,1.0,1.41,0.0,0.0
1764928384.9690948,80.85,1.0,1.41,0.0,0.0
1764928384.9696474,80.85,1.0,1.41,0.0,0.0
1764928385.1555846,80.85,1.0,1.41,0.0,0.0
1764928385.1569645,80.59,1.0,1.41,0.0,0.0
1764928385.3893807,80.85,1.0,1.41,0.0,0.0
1764928385.389572,80.59,1.0,1.41,0.0,0.0
1764928385.563692,80.59,1.0,1.41,0.0,0.0
1764928385.563898,80.85,1.0,1.41,0.0,0.0
1764928385.7844982,80.59,1.0,1.41,0.0,0.0
1764928385.7858737,80.85,1.0,1.41,0.0,0.0
