timestamp,theta_pot,theta_enc,w_user,w_meas,u_pwm,force_filt,tau_ext,w_adm
1763636057.976108,0.65,0.25234,0.0,0.0,150.0,0.0068,-0.00061,0.0
1763636057.976108,0.65,0.25234,0.0,0.0,150.0,0.0049,-0.00044,0.0
1763636058.199067,0.65,0.25234,0.0,0.0,150.0,-0.0061,0.00055,0.0
1763636058.199067,0.91,0.25234,0.0,0.0,150.0,-0.0006,6e-05,0.0
1763636058.4064057,0.65,0.25234,0.0,0.0,150.0,-0.0022,0.0002,0.0
1763636058.4074957,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00059,0.0
1763636058.5895941,0.65,0.25234,0.0,0.0,150.0,-0.003,0.00027,0.0
1763636058.5895941,0.91,0.25234,0.0,0.0,150.0,-0.0021,0.00019,0.0
1763636058.8177571,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.00061,0.0
1763636058.8177571,0.65,0.25234,0.0,0.0,150.0,0.0028,-0.00025,0.0
1763636059.021934,0.91,0.25234,0.0,0.0,150.0,-0.0037,0.00033,0.0
1763636059.021934,0.65,0.25234,0.0,0.0,150.0,-0.0047,0.00042,0.0
1763636059.2389474,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.00061,0.0
1763636059.2401938,0.91,0.25234,0.0,0.0,150.0,0.0044,-0.00039,0.0
1763636059.4068375,0.65,0.25234,0.0,0.0,150.0,-0.0033,0.0003,0.0
1763636059.4068375,0.65,0.25234,0.0,0.0,150.0,0.0084,-0.00076,0.0
1763636059.4068375,0.65,0.25234,0.0,0.0,150.0,0.0068,-0.00061,0.0
1763636059.6390414,0.65,0.25234,0.0,0.0,150.0,0.0082,-0.00074,0.0
1763636059.6400561,0.65,0.25234,0.0,0.0,150.0,0.008,-0.00072,0.0
1763636059.8568838,0.65,0.25234,0.0,0.0,150.0,-0.0,0.0,0.0
1763636059.857898,0.65,0.25234,0.0,0.0,150.0,-0.0009,9e-05,0.0
1763636060.0225337,0.65,0.25234,0.0,0.0,150.0,0.0072,-0.00064,0.0
1763636060.0235739,0.91,0.25234,0.0,0.0,150.0,-0.0025,0.00023,0.0
1763636060.2310996,0.91,0.25234,0.0,0.0,150.0,0.0072,-0.00065,0.0
1763636060.2320082,0.91,0.25234,0.0,0.0,150.0,0.0036,-0.00032,0.0
1763636060.4584467,0.65,0.25234,0.0,0.0,150.0,0.0043,-0.00039,0.0
1763636060.4584467,0.65,0.25234,0.0,0.0,150.0,-0.0004,4e-05,0.0
1763636060.6736977,0.65,0.25234,0.0,0.0,150.0,0.0092,-0.00083,0.0
1763636060.674327,0.65,0.25234,0.0,0.0,150.0,0.0065,-0.00059,0.0
1763636060.8494391,0.65,0.25234,0.0,0.0,150.0,0.0049,-0.00044,0.0
1763636060.8494391,0.91,0.25234,0.0,0.0,150.0,-0.0022,0.0002,0.0
1763636061.1009429,0.65,0.25234,0.0,0.0,150.0,0.0033,-0.0003,0.0
1763636061.1009429,0.65,0.25234,0.0,0.0,150.0,0.0073,-0.00065,0.0
1763636061.289504,0.65,0.25234,0.0,0.0,150.0,0.0072,-0.00065,0.0
1763636061.289504,0.91,0.25234,0.0,0.0,150.0,0.0065,-0.00059,0.0
1763636061.4786024,0.65,0.25234,0.0,0.0,150.0,0.0072,-0.00065,0.0
1763636061.4786024,0.65,0.25234,0.0,0.0,150.0,0.0075,-0.00067,0.0
1763636061.6667173,0.65,0.25234,0.0,0.0,150.0,0.0066,-0.00059,0.0
1763636061.6667173,0.65,0.25234,0.0,0.0,150.0,-0.0034,0.0003,0.0
1763636061.9173634,0.65,0.25234,0.0,0.0,150.0,0.0056,-0.0005,0.0
1763636061.9173634,0.65,0.25234,0.0,0.0,150.0,-0.0033,0.0003,0.0
1763636062.1054485,0.91,0.25234,0.0,0.0,150.0,0.0058,-0.00052,0.0
1763636062.1054485,0.65,0.25234,0.0,0.0,150.0,0.0071,-0.00064,0.0
1763636062.2935119,0.65,0.25234,0.0,0.0,150.0,0.0052,-0.00047,0.0
1763636062.2935119,0.91,0.25234,0.0,0.0,150.0,-0.0032,0.00028,0.0
1763636062.4823575,0.65,0.25234,0.0,0.0,150.0,-0.0016,0.00015,0.0
